student_id,item_id,correct
S01,Q001,0
S01,Q002,0
S01,Q003,0
S01,Q004,0
S01,Q005,0
S01,Q006,1
S01,Q007,1
S01,Q008,1
S01,Q009,1
S01,Q010,1
S01,Q011,0
S01,Q012,0
S01,Q013,0
S01,Q014,1
S01,Q015,0
S01,Q016,1
S01,Q017,0
S01,Q018,1
S01,Q019,0
S01,Q020,1
S01,Q021,1
S01,Q022,1
S01,Q023,1
S01,Q024,0
S01,Q025,1
S01,Q026,1
S01,Q027,1
S01,Q028,1
S01,Q029,0
S01,Q030,0
S01,Q031,1
S01,Q032,0
S01,Q033,0
S01,Q034,0
S01,Q035,1
S01,Q036,1
S01,Q037,0
S01,Q038,1
S01,Q039,0
S01,Q040,0
S01,Q041,0
S01,Q042,1
S01,Q043,1
S01,Q044,0
S01,Q045,1
S01,Q046,1
S01,Q047,1
S01,Q048,0
S01,Q049,0
S01,Q050,0
S01,Q051,0
S01,Q052,0
S01,Q053,0
S01,Q054,1
S01,Q055,0
S01,Q056,1
S01,Q057,1
S01,Q058,1
S01,Q059,1
S01,Q060,1
S01,Q061,1
S01,Q062,1
S01,Q063,0
S01,Q064,0
S01,Q065,0
S01,Q066,1
S01,Q067,0
S01,Q068,0
S01,Q069,1
S01,Q070,0
S01,Q071,1
S01,Q072,1
S01,Q073,0
S01,Q074,1
S01,Q075,0
S01,Q076,1
S01,Q077,1
S01,Q078,1
S01,Q079,1
S01,Q080,1
S01,Q081,0
S01,Q082,1
S01,Q083,1
S01,Q084,1
S01,Q085,1
S01,Q086,1
S01,Q087,0
S01,Q088,1
S01,Q089,1
S01,Q090,1
S01,Q091,1
S01,Q092,1
S01,Q093,0
S01,Q094,0
S01,Q095,1
S01,Q096,0
S01,Q097,0
S01,Q098,1
S01,Q099,0
S01,Q100,0
S02,Q001,1
S02,Q002,1
S02,Q003,0
S02,Q004,0
S02,Q005,1
S02,Q006,1
S02,Q007,1
S02,Q008,1
S02,Q009,0
S02,Q010,0
S02,Q011,1
S02,Q012,1
S02,Q013,0
S02,Q014,1
S02,Q015,1
S02,Q016,1
S02,Q017,1
S02,Q018,1
S02,Q019,1
S02,Q020,0
S02,Q021,1
S02,Q022,1
S02,Q023,0
S02,Q024,0
S02,Q025,0
S02,Q026,0
S02,Q027,0
S02,Q028,1
S02,Q029,0
S02,Q030,0
S02,Q031,0
